,molecule_chembl_id,smiles,type,pchembl_value_average,standard_value_average,pchembl_ave_fromStandard,diff
0,CHEMBL4082520,CN1C(=O)C2CN(Cc3c2c2cc(OCc4ccccc4)ccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,Ki,10.10,0.08,10.10,-0.00
2,CHEMBL4098975,O=C(CCCCCCC(=O)Nc1ccc(NCCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1)NO,IC50,9.85,0.14,9.85,0.00
3,CHEMBL4100534,COc1ccc2c(c1)c1c(n2Cc2ccc(C(=O)NO)cc2)CN2CC1C(=O)N(C)C2=O,Ki,9.82,0.15,9.82,0.00
4,CHEMBL4101480,COc1ccc2c(c1)c1c(n2Cc2ccc(C(=O)NO)cc2)CN2CC1C(=O)N(C)C2,Ki,9.80,0.16,9.80,-0.00
5,CHEMBL3912061,CS(=O)(=O)NCCc1cn(Cc2ccc(C(=O)NO)cc2)c2ccccc12,IC50,9.77,0.17,9.77,-0.00
6,CHEMBL4243347,O=C(CCCCCCC(=O)Nc1ccc(Nc2nc(-c3cn[nH]c3)c3cc[nH]c3n2)cc1)NO,IC50,9.70,0.20,9.70,-0.00
7,CHEMBL4074800,CN1CN2Cc3c(c4ccccc4n3Cc3ccc(C(=O)NO)cc3)C(C2)C1=O,Ki,9.64,0.23,9.64,-0.00
8,CHEMBL4247128,C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,IC50,9.60,0.25,9.60,0.00
9,CHEMBL4062190,COc1ccc2c3c(n(Cc4ccc(C(=O)NO)cc4)c2c1)CN1CC3C(=O)N(C)C1=O,Ki,9.49,0.32,9.49,0.00
10,CHEMBL3621294,O=C(CCCCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,IC50,9.49,0.32,9.49,0.00
11,CHEMBL4126811,CC(C)(C)OC(=O)Nc1ccc(-c2cc(C(=O)NCc3ccc(C(=O)NO)cc3)no2)cc1,IC50,9.48,0.33,9.48,0.00
12,CHEMBL4092802,CN1C(=O)C2CN(Cc3c2c2cc(O)ccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,Ki,9.38,0.42,9.38,-0.00
13,CHEMBL3670668,COc1ccc(-c2cc(-c3ccccc3)[nH]c2C(=O)NCc2ccc(C(=O)NCCS)cc2)cc1,IC50,9.36,0.44,9.36,-0.00
14,CHEMBL4065283,CN1C(=O)C2CN(Cc3c2c2ccccc2n3Cc2ccc(C(=O)NO)cc2)C1=S,Ki,9.35,0.45,9.35,-0.00
15,CHEMBL2018447,NC(=O)CCN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,9.34,0.46,9.34,-0.00
17,CHEMBL3759794,O=C(CCCCCC(=O)N/N=C/c1ccc(-c2cccnc2)cc1)NO,IC50,9.30,0.50,9.30,0.00
18,CHEMBL4075722,CN1CC2CN(Cc3c2c2ccccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,Ki,9.29,0.51,9.29,0.00
19,CHEMBL2018446,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CN(Cc2ccncc2)CC3)cc1,IC50,9.23,0.58,9.24,0.01
20,CHEMBL3759982,O=C(CCCCCC(=O)N/N=C/c1ccc(-c2ccccc2)cc1)NO,IC50,9.22,0.60,9.22,0.00
21,CHEMBL4531853,O=C(NO)c1ccc(CNC(=O)c2cc(Cn3c4ccccc4c4ccccc43)on2)cc1,IC50,9.21,0.61,9.21,0.00
22,CHEMBL4170617,CC(C)CCN(CCCCCCC(=O)NO)c1ncc(C(=O)NCCCn2ccnc2)s1,IC50,9.19,0.64,9.19,0.00
23,CHEMBL3670669,COc1ccc(-c2cc(-c3ccccc3)[nH]c2C(=O)NCc2ccc(C(=O)Nc3ccccn3)cc2)cc1,IC50,9.15,0.70,9.15,0.00
24,CHEMBL4092880,CN1C(=O)[C@@H]2CN(Cc3c2c2ccccc2n3Cc2ccc(C(=O)NO)cc2)C1=O,Ki,9.15,0.70,9.15,0.00
25,CHEMBL2018301,CN1CCc2c(c3cc(Br)ccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,9.15,0.70,9.15,0.00
26,CHEMBL4464421,CCOC(=O)Nc1cccc(-c2csc(NC(=O)CCCCCC(=O)NO)n2)c1,IC50,9.10,0.79,9.10,0.00
27,CHEMBL4095667,O=C(NO)c1ccc(CNc2cccc3ncccc23)cc1,IC50,9.10,0.80,9.10,-0.00
28,CHEMBL2018448,NC(=O)CN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,9.10,0.80,9.10,-0.00
30,CHEMBL1631914,COc1cc2cc(c1)COc1ccccc1NC(=O)[C@H](CCCCCC(=O)NO)OC/C=C\2,IC50,9.08,0.84,9.08,-0.00
31,CHEMBL4242626,N#CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,IC50,9.07,0.85,9.07,0.00
32,CHEMBL4177129,O=C(NO)c1ccc(CN(CCCCO)C(=O)Nc2ccccc2)cc1,IC50,9.06,0.87,9.06,0.00
33,CHEMBL2018452,O=C(NO)c1ccc(Cn2c3c(c4ccccc42)CCN(Cc2ccccc2)C3)cc1,IC50,9.06,0.87,9.06,0.00
34,CHEMBL4083713,CN1C(=O)N2Cc3c(c4ccccc4n3Cc3ccc(C(=O)NO)cc3)C(C2)C1=S,Ki,9.06,0.88,9.06,-0.00
35,CHEMBL4277484,CCCN1CC(=O)N2Cc3c(c4cc(O)ccc4n3Cc3ccc(C(=O)NO)cc3)CC2C1=O,IC50,9.05,0.89,9.05,0.00
36,CHEMBL4091233,O=C(CCCCCCC(=O)Nc1ccc(CCCn2cc(-c3ncnc4[nH]ccc34)cn2)cc1)NO,IC50,9.05,0.90,9.05,-0.00
37,CHEMBL4278715,COc1cc(-c2nc(NCc3ccc(C(=O)NO)cc3)cc3c2[nH]c2ccccc23)cc(OC)c1OC,IC50,9.03,0.93,9.03,0.00
38,CHEMBL2018442,C=CCN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,IC50,9.01,0.97,9.01,0.00
39,CHEMBL3356922,Cc1cccc(NC(=O)[C@H](CCCCCS)NC(=O)[C@@H]2CCC(=O)N2)c1,IC50,9.00,1.00,9.00,0.00
40,CHEMBL3356527,O=C(Nc1ccccc1)[C@H](CCCCCS)NC(=O)[C@@H]1CCCNC1=O,IC50,9.00,1.00,9.00,0.00
41,CHEMBL3655967,O=C(NO)c1cnc(NC2(c3ccccc3Cl)CC2)nc1,IC50,9.00,1.00,9.00,0.00
42,CHEMBL4225914,O=C(NO)c1ccc(CNC(=O)c2cc(-c3ccc(F)cc3)[nH]n2)cc1,IC50,9.00,1.00,9.00,0.00
43,CHEMBL4574641,Nc1ccc(-c2nnn(Cc3ccc(C(=O)NO)cc3)n2)cc1,IC50,9.00,1.00,9.00,0.00
44,CHEMBL3655917,O=C(NO)c1cnc(NCc2cccc(Cl)c2)nc1,IC50,9.00,1.00,9.00,0.00
