,molecule_chembl_id,smiles,type,pchembl_value_average,standard_value_average,pchembl_ave_fromStandard,diff
1511,CHEMBL4213615,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(Cc4ccc(C(=O)NO)cc4)ccc3OCC)nn12,IC50,6.59,256.00,6.59,0.00
1512,CHEMBL482287,CCSC(=S)SCC(=O)c1ccc(CN(C)C(C)=O)cc1,IC50,6.59,256.00,6.59,0.00
1513,CHEMBL485968,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1ccncc1,IC50,6.58,260.00,6.59,0.01
1514,CHEMBL2417783,Cc1onc(-c2ccccc2)c1C(=O)NCCCCCNC(=O)CS,IC50,6.58,260.00,6.59,0.01
1515,CHEMBL2386910,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(OCc4cn(CCCCC(=O)NO)nn4)ccc3nc2-1,IC50,6.58,260.00,6.59,0.01
1516,CHEMBL4172557,O=C(CCCCCCN1C(=O)NC2(CCCc3ccccc32)C1=O)NO,IC50,6.58,261.00,6.58,0.00
1517,CHEMBL4088663,O=C(NO)c1ccc(C(=O)Nc2cccc3cccnc23)cc1,IC50,6.58,265.00,6.58,-0.00
1518,CHEMBL3970984,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(c5ncc(C(=O)NO)cn5)CC4)ccc3OCC)nc12,IC50,6.57,268.00,6.57,0.00
1519,CHEMBL4299448,CC[C@@H]1OC(=O)[C@@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(-c4cn(CCCCC(=O)NO)nn4)cc3)[C@H](C)O2)[C@H](C)[C@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@H](C)C(=O)[C@@H](C)[C@@H](O)[C@@]1(C)O,IC50,6.57,269.00,6.57,0.00
1520,CHEMBL450362,O=C(c1ccc(-c2nc(-c3ccc(F)cc3)no2)s1)C(F)(F)F,IC50,6.57,270.00,6.57,-0.00
1521,CHEMBL4167623,C[C@H](NC(=O)[C@H](CC(=O)NCC(C)(C)C)NC(=O)c1ccc(C(=O)NO)cc1)C(=O)NCc1ccccc1,IC50,6.57,270.00,6.57,-0.00
1522,CHEMBL4448978,CC(=O)Nc1ccc(C(=O)NO)cc1,IC50,6.57,270.00,6.57,-0.00
1523,CHEMBL2047695,COc1cc(C/C(=N\O)C(=O)NCCS)cc(I)c1OC,IC50,6.57,270.00,6.57,-0.00
1524,CHEMBL3769783,O=C(NO)c1coc(-c2ccccc2)n1,IC50,6.57,270.00,6.57,-0.00
1525,CHEMBL4102833,O=C(CCCC(CCC(=O)Nc1ccccc1)Cc1ccccc1)NO,IC50,6.57,270.00,6.57,-0.00
1526,CHEMBL1914708,[N-]=[N+]=NCc1cc(Cn2cc(NC(=O)CCCCCCC(=O)NO)cn2)cc(N=[N+]=[N-])c1,IC50,6.56,274.00,6.56,0.00
1527,CHEMBL3681863,CCN(CC)CCSc1ccc(/C=C/C(=O)NO)cc1NCc1ccccc1,IC50,6.56,275.00,6.56,0.00
1528,CHEMBL4227275,O=C(CCCCNC(=O)c1cc(-c2ccc(F)cc2)[nH]n1)NO,IC50,6.56,275.00,6.56,0.00
1529,CHEMBL4081822,COc1ccc2c(C(=O)c3cc(OC)c(OC)c(OC)c3)cn(S(=O)(=O)c3cccc(/C=C/C(=O)NO)c3)c2c1,IC50,6.56,275.35,6.56,0.00
1530,CHEMBL4168150,COc1cccc(-n2nc(C(=O)NCCCCCC(=O)NO)nc2-c2cc(OC)c(OC)c(OC)c2)c1,IC50,6.56,276.00,6.56,-0.00
1531,CHEMBL2417784,Cc1onc(-c2ccccc2)c1C(=O)NCCCCCNC(=O)[C@@H](C)S,IC50,6.55,280.00,6.55,0.00
1532,CHEMBL247654,O=C(/C=C/c1ccc2c(c1)C(=O)N(Cc1ccc(-c3cccnc3)cc1)C2)NO,IC50,6.55,280.00,6.55,0.00
1533,CHEMBL3311471,O=C(CCCCCCNC(=O)c1ccc2[nH]c(=O)ccc2c1)NO,IC50,6.55,280.00,6.55,0.00
1534,CHEMBL3262725,O=C(/C=C/c1cccc(S(=O)(=O)n2ccc3ccncc32)c1)NO,IC50,6.55,280.00,6.55,0.00
1535,CHEMBL401837,CCCC[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,IC50,6.55,280.00,6.55,0.00
1536,CHEMBL3353059,O=C(NO)c1cc2n(c1)CCN(C(=O)c1cc3ccccc3[nH]1)C2,IC50,6.55,280.00,6.55,0.00
1537,CHEMBL589311,O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H]2CCCCCCCCCCC[C@@H](NC1=O)C(=O)N2)NO,IC50,6.55,280.00,6.55,0.00
1538,CHEMBL4549965,CC(CNC(=O)c1ccc(/C=C/C(=O)NO)cc1)Oc1no[n+]([O-])c1S(=O)(=O)c1ccccc1,IC50,6.55,280.00,6.55,0.00
1539,CHEMBL475203,NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1cccc(Cl)c1)C(=O)Nc1nc(-c2ccccc2)cs1,IC50,6.55,280.00,6.55,0.00
1540,CHEMBL4217088,O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc(-c4ccc(Cl)cc4)ccc23)cc1,IC50,6.55,281.00,6.55,0.00
1541,CHEMBL4069631,CN(C)c1ccc(C(=O)N(CCCCCC(=O)NO)CC(=O)NCc2ccccc2)cc1,IC50,6.55,281.00,6.55,0.00
1542,CHEMBL1830420,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNCC,Ki,6.55,282.00,6.55,-0.00
1543,CHEMBL3601779,Cc1ccc(Nc2nccc3ccc(NCc4ccc(/C=C/C(=O)NO)cc4)cc23)c(Cl)c1,IC50,6.54,286.26,6.54,0.00
1544,CHEMBL4580317,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2ccccc2C(F)(F)F)S(=O)(=O)c2ccc(F)cc2F)c2ccc(C(=O)NO)cc2)cc1,IC50,6.54,289.00,6.54,-0.00
1545,CHEMBL4207448,COc1ccc2[nH]cc(Cn3cc(COc4ccc(/C=C/C(=O)NO)cc4OC)nn3)c2c1,IC50,6.54,290.00,6.54,-0.00
1546,CHEMBL3309290,CC1(C)CC(=O)Nc2ccc(C(=O)NCc3cccc(/C=C/C(=O)NO)c3)cc21,IC50,6.54,290.00,6.54,-0.00
1547,CHEMBL4174925,COc1cccc(-n2nc(C(=O)NCC(=O)NO)nc2-c2cc(OC)c(OC)c(OC)c2)c1,IC50,6.54,290.00,6.54,-0.00
1548,CHEMBL4203935,O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc(-c4cc(Cl)cc(Cl)c4)ccc23)cc1,IC50,6.53,293.00,6.53,0.00
1550,CHEMBL3681866,CCN(CC)CCSc1ccc(/C=C/C(=O)NO)cc1N,IC50,6.53,295.00,6.53,0.00
1551,CHEMBL4583466,N#Cc1ccc2c(c1)SC(=S)N1CCN=C21,IC50,6.52,300.00,6.52,0.00
1552,CHEMBL4237922,CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccc(CCCCC(=O)NO)cc1,IC50,6.52,300.00,6.52,0.00
1553,CHEMBL3771312,O=C(NO)c1csc(-c2cccnc2)n1,IC50,6.52,300.00,6.52,0.00
1554,CHEMBL4584008,O=C(CCCCCCCn1cc(Nc2ncc(Cl)c(Nc3ccc(F)cc3)n2)cn1)NO,IC50,6.52,300.00,6.52,0.00
1555,CHEMBL3798027,O=C(NO)c1ccc(Cl)c(NC(=O)c2cccc(Oc3ccccc3)c2)c1,IC50,6.52,300.00,6.52,0.00
1556,CHEMBL1830424,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(C)C,Ki,6.52,300.00,6.52,0.00
1557,CHEMBL3675753,O=C(Cc1ccc(Cn2c3ccccc3c3ccccc32)cc1)NO,IC50,6.52,301.00,6.52,0.00
1558,CHEMBL482271,CCSC(=S)SCC(=O)c1ccc(CNC(=O)c2ccccc2)cc1,IC50,6.52,301.00,6.52,0.00
1559,CHEMBL472631,O=C(/C=C/c1ccc(/C=N/OCCN2CCOCC2)cc1)NO,IC50,6.52,303.00,6.52,-0.00
1560,CHEMBL3601780,Cc1ccc(Nc2nccc3ccc(NCc4ccc(/C=C/C(=O)NO)cc4)cc23)c(Br)c1,IC50,6.52,304.02,6.52,-0.00
1561,CHEMBL3891163,CC(C)Cc1sc(-c2nccs2)nc1C(=O)Nc1cccc(/C=C/C(=O)NO)c1,IC50,6.52,305.00,6.52,-0.00
1562,CHEMBL3233698,O=C(/C=C/c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(Cl)cc2)cc1)NO,IC50,6.51,308.20,6.51,0.00
1563,CHEMBL4445910,O=C(CCc1csc(/C=C/c2ccc(Br)cc2)n1)NO,IC50,6.51,309.40,6.51,-0.00
1564,CHEMBL4535745,CC(C)Cc1sc(-c2nccs2)nc1C(=O)Nc1ccc(/C=C/C(=O)NO)cc1,IC50,6.51,310.00,6.51,-0.00
1565,CHEMBL4568644,O=C(CCCCn1cc(Nc2ncc(Cl)c(Nc3ccc(F)cc3)n2)cn1)NO,IC50,6.51,310.00,6.51,-0.00
1566,CHEMBL519943,O=C(NO)c1ccc(CN2c3ccccc3NC(=O)[C@@H]2Cc2cccs2)cc1,IC50,6.51,310.00,6.51,-0.00
1567,CHEMBL253308,CC[C@H](C)[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,IC50,6.51,310.00,6.51,-0.00
1568,CHEMBL3681868,C=CCCCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,IC50,6.51,310.00,6.51,-0.00
1569,CHEMBL3770566,O=C(NO)c1coc(-c2cccs2)n1,IC50,6.51,311.00,6.51,-0.00
1570,CHEMBL3681869,CCN(CC)CCSc1ccc(/C=C/C(=O)NO)cc1NC(=O)C(Cl)Cl,IC50,6.50,313.00,6.50,0.00
1571,CHEMBL3681862,CCN(CC)CCSc1ccc(/C=C/C(=O)NO)cc1[N+](=O)[O-],IC50,6.50,313.00,6.50,0.00
1572,CHEMBL3771174,Cc1ccc(-c2nc(C(=O)NO)co2)cc1,IC50,6.50,313.00,6.50,0.00
1573,CHEMBL4459443,COc1ccc(S(=O)(=O)N2CCc3cccc(NCc4ccc(C(=O)Nc5ccccc5N)cc4)c32)cc1,IC50,6.50,314.00,6.50,0.00
1574,CHEMBL4459294,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)NCc1ccc(C(=O)NO)cc1,IC50,6.50,314.00,6.50,0.00
1575,CHEMBL4448385,CC(C)c1cc(C(=O)N(C)c2ccc(NC(=O)CCCCCCCC(=O)NO)cc2)c(O)cc1O,IC50,6.50,316.00,6.50,0.00
1576,CHEMBL4237816,CCc1c2c(nc3ccc(O)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@@]3(CC)OC(=O)CCCCCCCCC(=O)NO,IC50,6.50,320.00,6.49,-0.01
1577,CHEMBL494139,NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)c1n[nH]c(-c2ccccc2)n1,IC50,6.50,320.00,6.49,-0.01
1578,CHEMBL2047681,COc1ccc(C/C(=N\N)C(=O)NCCS)cc1Br,IC50,6.50,320.00,6.49,-0.01
1579,CHEMBL449493,O=C(N[C@@H](CCCCCB(O)O)C(=O)Nc1cccc(-c2ccccc2)c1)c1cccnc1,IC50,6.50,320.00,6.49,-0.01
1580,CHEMBL4086409,CCCCC(CCCC(=O)NO)CCC(=O)Nc1ccccc1,IC50,6.50,320.00,6.49,-0.01
1581,CHEMBL3589701,O=C(CCCCCCC(=O)Nc1ccc(C2=C(c3ccc(O)cc3)C3CC(S(=O)(=O)Oc4ccc5ccccc5c4)C2O3)cc1)NO,IC50,6.49,322.00,6.49,0.00
1582,CHEMBL4226489,O=C(NO)c1ccc(Cn2nc(-c3ccc(F)cc3)cc2Cc2ccccc2)cc1,IC50,6.49,326.00,6.49,-0.00
1583,CHEMBL4209220,CCCc1nc(C)c2c(=O)[nH]c(-c3cc(-c4ccc(C(=O)NO)cc4)ccc3OCC)nn12,IC50,6.49,326.00,6.49,-0.00
1584,CHEMBL242473,CCSC(=S)SCC(=O)c1cccc(NC(C)=O)c1,IC50,6.48,329.00,6.48,0.00
1585,CHEMBL598363,O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H]2CCCCCCCCC[C@@H](NC1=O)C(=O)N2)NO,IC50,6.48,330.00,6.48,0.00
1586,CHEMBL4636427,O=C(CCCCCONC(=O)c1cc(I)cc(I)c1I)NO,Ki,6.48,330.00,6.48,0.00
1587,CHEMBL3758912,O=C(O)CCn1nc(C(=O)NCCCCCCS)cc1-c1ccc(F)cc1,IC50,6.48,330.00,6.48,0.00
1588,CHEMBL462223,O=C(c1ccc(-c2nnc(-c3ccccc3)o2)s1)C(F)(F)F,IC50,6.48,330.00,6.48,0.00
1589,CHEMBL2158742,O=C1N[C@@H]2CCOCCSSCCCCC[C@@H]1NC(=O)[C@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC2=O,IC50,6.48,330.00,6.48,0.00
1590,CHEMBL3622729,C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,IC50,6.48,331.00,6.48,0.00
1591,CHEMBL3906734,O=C(CCCCNC(=O)c1nc(-c2nc(C3CC3)cs2)sc1C1CC1)NO,IC50,6.48,332.00,6.48,-0.00
1592,CHEMBL4468198,COc1ccccc1-n1nc(-c2cccs2)nc1Cc1ccc(C(=O)NO)cc1,IC50,6.48,333.00,6.48,-0.00
1593,CHEMBL4532891,O=C(CNC(=O)CNC(=O)OCc1ccccc1)NCc1ccc(C(=O)NO)cc1,IC50,6.47,335.00,6.47,0.00
1594,CHEMBL589906,CCCCC[C@@H]1NC(=O)[C@@H](CCCCC)NC(=O)[C@H](CCCCCC(=O)NO)NC(=O)[C@H]2CCCN2C1=O,IC50,6.47,340.00,6.47,-0.00
1595,CHEMBL2413318,CC(C)N(Cc1ccccc1)Cc1ccc(/C=C/C(=O)NO)o1,IC50,6.47,340.00,6.47,-0.00
1596,CHEMBL4207409,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(C4=CCC(C(=O)NO)CC4)ccc3OCC)nc12,IC50,6.47,340.00,6.47,-0.00
1597,CHEMBL517384,CCSC(=S)SCC(=O)c1ccc(S(=O)(=O)Nc2ccc(Cl)cc2)cc1,IC50,6.47,340.00,6.47,-0.00
1598,CHEMBL3976546,CCOc1ccc(CC2CCC(CC(=O)NO)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,6.46,344.00,6.46,0.00
1599,CHEMBL4202659,CCCOc1cccc(-c2ccc3c(NC(=O)c4ccc(C(=O)NO)cc4)n[nH]c3c2)c1,IC50,6.46,345.00,6.46,0.00
1600,CHEMBL480884,CCSC(=S)SCC(=O)c1ccc(CNC(C)=O)cc1,IC50,6.46,346.00,6.46,0.00
1601,CHEMBL1830422,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNC(C)C,Ki,6.46,348.00,6.46,-0.00
1602,CHEMBL3681864,C=CCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,IC50,6.46,350.00,6.46,-0.00
1603,CHEMBL4635256,O=C(CCCCCONC(=O)c1c(Cl)cncc1Cl)NO,Ki,6.46,350.00,6.46,-0.00
1604,CHEMBL4467212,COc1cc(/C=C/C(=O)NO)ccc1OCCCN(C)C(=O)c1ccccc1O,IC50,6.46,350.00,6.46,-0.00
1605,CHEMBL3601777,Cc1ccc(Nc2nccc3ccc(NCc4ccc(C(=O)NO)cc4)cc23)cc1,IC50,6.45,351.85,6.45,0.00
1606,CHEMBL4469978,Cc1nnc(-c2ccc(C(=O)NO)cc2)[nH]1,IC50,6.45,353.00,6.45,0.00
1607,CHEMBL4286053,O=C(CCCCn1[se]c2ccccc2c1=O)NO,IC50,6.45,356.00,6.45,-0.00
1608,CHEMBL2442793,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3ccccc3OCCCC(=O)NO)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,IC50,6.45,357.00,6.45,-0.00
1609,CHEMBL3681861,CCN(CC)CCSc1ccc(/C=C/C(=O)NO)cc1NC(C)=O,IC50,6.45,357.00,6.45,-0.00
1610,CHEMBL4228699,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(C(=O)NO)cc2)cc1,IC50,6.45,359.00,6.44,-0.01
1611,CHEMBL4543731,COc1cc(/C=C/C(=O)NO)ccc1OCCCCNC(=O)c1ccccc1O,IC50,6.44,360.00,6.44,0.00
1612,CHEMBL485967,CC(NC(=O)c1ccc(C(=O)C(F)(F)F)s1)c1cccc2ccccc12,IC50,6.44,360.00,6.44,0.00
1613,CHEMBL3926754,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCCC(=O)NO)CC4)ccc3OCC)nc12,IC50,6.44,360.00,6.44,0.00
1614,CHEMBL2047540,O=C(NCCS)/C(Cc1ccc(O)c(Br)c1)=N/O,IC50,6.44,360.00,6.44,0.00
1615,CHEMBL3746015,COc1ccc(-c2nc(NC(=O)NCCC(=O)NO)cc3c2[nH]c2ccccc23)cc1,IC50,6.44,360.00,6.44,0.00
1616,CHEMBL4299368,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@](C)(OC)[C@@](O)(CN(C)Cc3ccc(-c4cn(CCCC(=O)NO)nn4)cc3)[C@@H](C)O2)[C@@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H](O)[C@]1(C)O,IC50,6.44,361.00,6.44,0.00
1617,CHEMBL4563838,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(-c3ccc(C(=O)NO)cc3)c2c(=O)n1-c1ccccc1,IC50,6.44,362.00,6.44,0.00
1618,CHEMBL4534860,CC(C)(C)c1ccc(CN(C(=O)CN(Cc2ccccc2C(F)(F)F)S(=O)(=O)c2ccc(F)c(F)c2)c2ccc(C(=O)NO)cc2)cc1,IC50,6.44,362.00,6.44,0.00
1619,CHEMBL4581909,O=C(NO)c1ccc(Cc2nc(-c3ccc(Cl)cc3)nn2Cc2ccccc2)cc1,IC50,6.43,368.00,6.43,0.00
1620,CHEMBL455455,O=C(NCc1ccccc1)c1ccc(C(=O)C(F)(F)F)s1,IC50,6.43,370.00,6.43,0.00
1621,CHEMBL515764,NS(=O)(=O)NCCCC[C@H](NC(=O)NCc1ccc(F)cc1)C(=O)Nc1nc(-c2ccccc2)cs1,IC50,6.43,370.00,6.43,0.00
1622,CHEMBL2337870,N#Cc1cc(-c2ccccc2)ccc1Cn1cccc(O)c1=S,IC50,6.43,372.00,6.43,-0.00
1623,CHEMBL3657469,[C-]#[N+]c1ccccc1-c1ccc(Cn2cccc(O)c2=S)cc1,IC50,6.43,372.00,6.43,-0.00
1624,CHEMBL3936651,CCOc1ccc(OC2CCN(c3ncc(C(=O)NO)cn3)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,6.43,373.00,6.43,-0.00
1625,CHEMBL2333345,O=C(NO)C1CCCCC1,IC50,6.42,376.00,6.42,0.00
1626,CHEMBL3923840,CCOc1ccc(CN2CCN(c3ncc(C(=O)NO)cn3)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,6.42,379.00,6.42,0.00
1627,CHEMBL4581044,COc1cc(/C=C/C(=O)NO)ccc1OCCCCN(C)C(=O)c1ccccc1O,IC50,6.42,380.00,6.42,0.00
1628,CHEMBL1836144,CC[C@H](C)[C@H]1NC(=O)[C@@H](CS)NC(=O)[C@@H](CCSC)NC(=O)C[C@@H](/C=C/CCS)OC(=O)C[C@@H]1O,IC50,6.42,380.00,6.42,0.00
1629,CHEMBL520781,CCSC(=S)SCC(=O)c1ccc(NS(=O)(=O)c2ccccc2)cc1,IC50,6.42,382.00,6.42,-0.00
1630,CHEMBL4215505,O=C(NO)c1ccc(C(=O)Nc2n[nH]c3cc(-c4c(Cl)cccc4Cl)ccc23)cc1,IC50,6.42,385.00,6.41,-0.01
1631,CHEMBL3086768,O=C(CCCC(=O)NCCc1ccccc1)NO,IC50,6.41,385.80,6.41,0.00
1632,CHEMBL507114,NS(=O)(=O)NCCCCCC(=O)Nc1cccc2cccnc12,IC50,6.41,390.00,6.41,-0.00
1633,CHEMBL3800394,COc1ccc(C(=O)NO)cc1NC(=O)c1ccc(-c2ccccc2)cc1,IC50,6.41,390.00,6.41,-0.00
1634,CHEMBL482094,CCSC(=S)SCC(=O)c1ccc(Nc2ncnc3ccccc23)cc1,IC50,6.41,390.00,6.41,-0.00
1635,CHEMBL2046608,C=CCCC(=O)Nc1ccc(C(=O)N2CCc3nc(C(=O)NO)sc3C2)cc1,IC50,6.41,390.00,6.41,-0.00
1636,CHEMBL3765502,CN(C)c1ccc(C(=O)N/N=C/c2cccc(C(=O)NO)c2)cc1,IC50,6.41,390.00,6.41,-0.00
1637,CHEMBL4581033,Cc1noc(C)c1-c1nc2sc3c(c2c(=O)[nH]1)CCN(CC(=O)Nc1ccccc1N)C3,IC50,6.41,391.00,6.41,-0.00
1638,CHEMBL4104334,CCNNC(=O)c1ccc(CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(OC)cc2)cc1,IC50,6.41,392.70,6.41,-0.00
1639,CHEMBL3915689,O=C(NO)c1ccc(NCCOc2ccc3cc2COC/C=C/COCc2cccc(c2)-c2ccnc(n2)N3)cc1,IC50,6.40,395.00,6.40,0.00
1640,CHEMBL3914813,CCOc1ccc(CC2CCN(c3ccc(C(=O)NO)cn3)CC2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,6.40,395.00,6.40,0.00
1641,CHEMBL479786,CCSC(=S)SCC(=O)c1ccc(C(=O)NCc2cc(C)cc(C)c2)s1,IC50,6.40,396.00,6.40,0.00
1642,CHEMBL492312,NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)c1csc(-c2ccccc2)n1,IC50,6.40,400.00,6.40,-0.00
1643,CHEMBL3692630,O=S(=O)(Nc1ccccc1)c1ccc(-c2noc(C(F)(F)F)n2)cc1,IC50,6.40,400.00,6.40,-0.00
1644,CHEMBL3799297,COc1ccc(C(=O)Nc2cc(C(=O)NO)ccc2OC)cc1,IC50,6.40,400.00,6.40,-0.00
1645,CHEMBL1095085,CCN1CCC[C@@H](n2c(C)nc(C)c2-c2cccc(/C=C/C(=O)NO)c2)C1,IC50,6.40,400.00,6.40,-0.00
1646,CHEMBL4633409,CCc1nc(N)nc(N)c1-c1ccc(/C=C/C(=O)NO)cc1,IC50,6.40,400.00,6.40,-0.00
1647,CHEMBL2408696,CN1C(=O)[C@@H](NC(=O)CCCCCCC(=O)NO)N=C(c2ccccc2)c2ccccc21,IC50,6.40,400.00,6.40,-0.00
1648,CHEMBL4061807,O=C(NO)c1ccc(CNc2cnc3ccccc3c2)cc1,IC50,6.39,403.00,6.39,0.00
1649,CHEMBL238829,CC1(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C(=O)[C@H](Cc2ccccc2)NC1=O,IC50,6.39,404.00,6.39,0.00
1650,CHEMBL2442792,COc1cc([C@@H]2c3cc4c(cc3[C@@H](Nc3cccc(OCCCC(=O)NO)c3)[C@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1O,IC50,6.39,405.00,6.39,0.00
1651,CHEMBL3235790,N#CCc1ccc(-c2ccc(/C=C/C(=O)NO)cc2Cl)cc1C12CC3CC(CC(C3)C1)C2,IC50,6.39,408.00,6.39,-0.00
1652,CHEMBL494138,NS(=O)(=O)NCCCC[C@H](NC(=O)OCc1ccccc1)c1c[nH]c(-c2ccccc2)n1,IC50,6.39,410.00,6.39,-0.00
1653,CHEMBL462203,O=C1COc2ccccc2N1Cc1noc(-c2ccc(C(=O)C(F)(F)F)s2)n1,IC50,6.39,410.00,6.39,-0.00
1654,CHEMBL4064944,CCCCCCC(CCCC(=O)NO)CCC(=O)Nc1ccccc1,IC50,6.39,410.00,6.39,-0.00
1655,CHEMBL487347,O=C(c1ncc(C(=O)C(F)(F)F)s1)N1CCc2ccccc21,IC50,6.39,410.00,6.39,-0.00
1656,CHEMBL592719,O=C(CCCCC[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@@H]2CCCCCCCCCC[C@@H](NC1=O)C(=O)N2)NO,IC50,6.39,410.00,6.39,-0.00
1657,CHEMBL496512,COc1ccc(COCc2ccc(C(=O)C(F)(F)F)s2)cc1,IC50,6.39,410.00,6.39,-0.00
1658,CHEMBL4639383,CC(C)(C)c1cccc(NC(=O)c2ccc(C(=O)NO)cc2)c1,IC50,6.38,414.00,6.38,0.00
1659,CHEMBL3944571,CCOc1ccc(CC2CCC(C(=O)NO)C2)cc1-c1nc2c(CC)nn(C)c2c(=O)[nH]1,IC50,6.38,416.00,6.38,0.00
1660,CHEMBL4649745,CC(C)[C@@H](C#Cc1ccc(C(=O)NO)cc1)NC(=O)C1Cc2ccccc2O1,IC50,6.38,417.00,6.38,-0.00
1661,CHEMBL4160840,O=C(NO)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,IC50,6.38,419.00,6.38,-0.00
1662,CHEMBL474051,COc1cccc(-c2csc(NC(=O)[C@H](CCCCNS(N)(=O)=O)NC(=O)OCc3ccccc3)n2)c1,IC50,6.38,420.00,6.38,-0.00
1663,CHEMBL3220922,CC(=O)N1c2ccc(-c3ccc(NC(=O)CCCCCCC(=O)NO)cc3)cc2[C@H](NC(=O)OC(C)C)C[C@@H]1C,IC50,6.38,420.00,6.38,-0.00
1664,CHEMBL4229043,O=C(NO)c1ccc(Cn2nc(Cc3ccccc3)cc2-c2ccc(F)cc2)cc1,IC50,6.38,420.00,6.38,-0.00
1665,CHEMBL4643138,Cc1cc(C)cc(C(=O)NOCCCCC(=O)NO)c1,Ki,6.38,420.00,6.38,-0.00
1666,CHEMBL482095,CCSC(=S)SCC(=O)c1ccc(NC(=O)c2cccnc2)cc1,IC50,6.38,421.00,6.38,-0.00
1667,CHEMBL2413292,O=C(/C=C/c1ccc(CN(CCO)Cc2ccccc2)o1)NO,IC50,6.37,430.00,6.37,-0.00
1668,CHEMBL1243261,O=C(CCCCc1cc(C(=O)NO)no1)Nc1ccccc1,IC50,6.37,430.00,6.37,-0.00
1669,CHEMBL3311472,O=C(CCCCCCNC(=O)c1ccc2c(c1)CCC(=O)N2)NO,IC50,6.37,430.00,6.37,-0.00
1670,CHEMBL4465947,COc1cc(/C=C/C(=O)NO)ccc1OCCN(C)C(=O)c1ccccc1O,IC50,6.37,430.00,6.37,-0.00
1671,CHEMBL238596,C[C@@H]1NC(=O)C(C)(C)NC(=O)[C@H](CCCCCSSc2ccccn2)NC(=O)[C@H]2CCCN2C1=O,IC50,6.37,430.00,6.37,-0.00
1672,CHEMBL4439820,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc(NCCCC(=O)NO)c2ccccc2n1,IC50,6.37,431.00,6.37,-0.00
1673,CHEMBL482136,CCSC(=S)SCC(=O)c1cccc(S(=O)(=O)Nc2ccc3c(c2)OCO3)c1,IC50,6.37,431.00,6.37,-0.00
